"cjxiaoqu","constructionTime","bankuai","communityAverage","elevator","subway","school","hospital","supermarket"
"国际创展中心",2007,"CBD",81853,1,0,0,1,0
"世贸国际公寓",1997,"CBD",66143,1,1,0,0,1
"华声国际大厦",1983,"CBD",66900,1,1,1,1,1
"金地国际花园",1996,"CBD",75776,1,1,1,1,0
"蓝堡国际公寓",1964,"CBD",91461,0,1,1,0,0
"富力爱丁堡公馆",2007,"CBD",44856,1,0,0,1,1
"和乔丽致公寓",1980,"CBD",64818,0,1,1,0,0
"华源之星",1970,"CBD",71858,0,0,1,0,0
"温莎大道",1986,"CBD",74566,1,0,0,1,1
"白家庄北里",2003,"CBD",85229,1,1,1,1,0
"地杰长安驿",1986,"CBD",99633,1,1,1,1,0
"广渠门外大街路北区",1997,"CBD",47487,1,0,1,0,0
"广馨居",2004,"CBD",47736,1,0,1,0,1
"金色漫香林三期",1987,"CBD",71268,1,1,0,1,0
"摩码大厦",1989,"CBD",96140,1,1,1,0,0
"南郎家园",1990,"CBD",96627,1,1,0,0,0
"世茂宫园",2014,"CBD",45957,1,0,0,0,0
"农丰里",2008,"CBD",87366,1,1,0,1,1
"日坛北路院",1998,"CBD",91631,1,1,0,1,1
"三里屯南路",1988,"CBD",96969,0,1,1,0,1
"日坛国际公寓",2003,"CBD",58984,1,0,0,1,1
"白家庄西里",1999,"CBD",85287,1,1,1,1,0
"盛世嘉园",2004,"CBD",96795,1,1,0,0,0
"朝阳门南大街",1981,"CBD",52938,1,0,0,1,1
"时代国际嘉园",1988,"CBD",55915,1,1,0,1,1
"世界城",1995,"CBD",57673,1,1,0,1,1
"东直门外大街",1999,"CBD",94117,1,1,1,1,1
"天福园",2006,"CBD",94271,1,1,0,1,0
"石韵浩庭",2000,"CBD",63841,1,1,1,1,1
"泰悦豪庭",1987,"CBD",70221,1,1,0,1,1
"光辉里小区",2000,"CBD",39020,1,0,1,0,0
"核桃园北里",2011,"CBD",73109,1,0,0,0,0
"红庙西里",1999,"CBD",78359,1,1,1,0,0
"人民日报社家属区",1997,"CBD",62380,1,1,1,0,1
"华贸国际公寓",2005,"CBD",45024,1,1,0,0,1
"金台北街",2001,"CBD",51672,1,1,1,0,1
"三丰里小区",2003,"CBD",74411,1,1,0,0,0
"万达广场公寓",1995,"CBD",37870,1,0,0,0,1
"呼家楼北街",2002,"CBD",58941,1,1,1,1,1
"富力城B区",2008,"CBD",52749,1,1,0,1,1
"富力城C区",2006,"CBD",40453,1,0,0,0,1
"十里堡北里",2007,"CBD",46692,1,0,0,1,1
"红庙北里",2005,"CBD",53098,1,1,0,0,0
