"r$house.id","r$square","house_type.id","buildingType","constructionTime","renovationCondition","floor","ladderRatio","as.character(r$cjxiaoqu)"
700001,273.59,3213,3,2007,4,8,1,"国际创展中心"
100002,127,2212,1,1997,4,16,0.3,"世贸国际公寓"
500003,28.39,1011,4,1983,4,6,0.25,"华声国际大厦"
800004,82.49,3111,4,1980,4,6,0.5,"华声国际大厦"
100005,57.73,2111,4,1996,4,7,0.5,"金地国际花园"
300006,57.73,2111,4,1996,4,7,0.5,"金地国际花园"
200007,80.93,3011,4,1964,3,5,0.333,"蓝堡国际公寓"
600008,56.29,1111,4,2007,4,6,0.5,"富力爱丁堡公馆"
700009,54.3,1111,4,2006,4,6,0.5,"富力爱丁堡公馆"
400010,37,1111,4,1980,3,5,0.333,"和乔丽致公寓"
600011,36.59,1111,4,1980,3,5,0.333,"和乔丽致公寓"
900012,49.52,2011,4,1970,3,5,0.333,"华源之星"
400013,49.89,2111,4,1976,4,6,0.333,"华源之星"
200014,58.1,1111,1,1986,3,17,0.25,"温莎大道"
700015,294.01,6313,1,2003,1,15,0.333,"白家庄北里"
400016,177.44,3212,1,2003,4,12,0.333,"白家庄北里"
600017,41.47,1111,4,1986,3,6,0.333,"地杰长安驿"
600018,144.29,3212,4,1997,4,6,0.5,"广渠门外大街路北区"
800019,206.79,4212,4,2004,4,6,0.5,"广馨居"
300020,68.05,3111,4,1987,4,6,0.333,"金色漫香林三期"
200021,64.32,2111,1,1989,4,14,0.25,"摩码大厦"
700022,60.5,2111,1,1990,4,16,0.333,"南郎家园"
100023,68.6,2111,1,1992,4,16,0.333,"南郎家园"
600024,93.8,2111,4,2014,3,6,0.333,"世茂宫园"
300025,90,2111,4,2008,4,16,0.5,"农丰里"
500026,108.86,3111,3,1998,3,18,0.2,"日坛北路院"
700027,78.5,3111,4,1987,3,6,0.25,"日坛北路院"
800028,56,2111,4,1988,4,4,0.333,"三里屯南路"
500029,69.21,1111,3,2003,4,17,0.667,"日坛国际公寓"
100030,75.43,2111,1,1999,3,18,0.25,"白家庄西里"
100031,57,1111,1,2004,1,18,0.3,"盛世嘉园"
700032,122.86,2211,1,2004,4,18,0.3,"盛世嘉园"
800033,161,3212,1,2004,4,18,0.3,"盛世嘉园"
200034,113.65,2211,1,2004,3,18,0.333,"盛世嘉园"
400035,73.41,4011,4,1981,3,6,0.333,"朝阳门南大街"
300036,53.1,2111,4,1988,3,6,0.5,"时代国际嘉园"
900037,43,2011,4,1988,3,6,0.25,"时代国际嘉园"
600038,58.65,2111,4,1995,2,6,0.5,"世界城"
100039,69.1,2111,4,1995,3,6,0.5,"世界城"
500040,75.88,2111,3,1999,4,14,0.667,"东直门外大街"
400041,80.47,2111,1,2006,3,20,0.25,"天福园"
300042,87.95,2111,1,2006,4,21,0.25,"天福园"
900043,72.76,1111,4,2000,4,6,0.333,"石韵浩庭"
100044,64.9,2111,4,1987,3,6,0.333,"泰悦豪庭"
100045,61.19,2111,4,1986,4,14,0.25,"泰悦豪庭"
200046,65.3,2111,4,1987,3,6,0.333,"泰悦豪庭"
100047,98.01,2111,4,2000,3,6,0.5,"光辉里小区"
900048,162.88,3212,4,2011,2,6,0.5,"核桃园北里"
800049,57.7,1011,4,2008,4,9,0.333,"核桃园北里"
700050,63.65,2111,1,1999,4,14,0.143,"红庙西里"
200051,67.28,3111,1,1999,4,14,0.143,"红庙西里"
800052,74.1,2111,4,1997,4,6,0.25,"人民日报社家属区"
100053,58,2011,4,1985,3,6,0.5,"人民日报社家属区"
700054,74.97,3111,4,1985,1,6,0.333,"人民日报社家属区"
500055,44.04,1011,3,2005,3,18,0.25,"华贸国际公寓"
500056,69.12,1111,3,2005,4,18,0.25,"华贸国际公寓"
300057,88.53,2111,4,2005,4,13,0.5,"华贸国际公寓"
900058,93.26,2211,4,2005,4,15,0.5,"华贸国际公寓"
400059,53.42,1111,3,2005,3,18,0.143,"华贸国际公寓"
900060,53.4,1011,3,2005,4,18,0.143,"华贸国际公寓"
500061,62.61,1111,1,2001,4,28,0.2,"金台北街"
500062,148.2,3212,1,2003,1,29,0.375,"三丰里小区"
100063,141.6,3212,4,1995,4,6,0.5,"万达广场公寓"
600064,108,3211,4,1995,1,6,0.5,"万达广场公寓"
400065,141.4,3212,4,1995,3,6,0.5,"万达广场公寓"
200066,138,2212,3,2001,1,14,0.5,"万达广场公寓"
900067,109,3211,4,1995,1,6,0.5,"万达广场公寓"
500068,246.31,6313,4,1995,1,6,0.5,"万达广场公寓"
600069,170,3212,3,2001,4,14,0.5,"万达广场公寓"
800070,141,3212,4,1995,4,6,0.5,"万达广场公寓"
700071,108.97,3212,4,1995,1,6,0.5,"万达广场公寓"
600072,109,3211,4,1995,4,6,0.5,"万达广场公寓"
800073,33.48,1011,1,2002,1,24,0.231,"呼家楼北街"
900074,88.22,2111,1,2002,4,24,0.25,"呼家楼北街"
100075,56.85,1011,3,2008,4,24,0.16,"富力城B区"
700076,74.5,1011,3,2008,4,24,0.16,"富力城B区"
200077,58.24,1011,3,2008,3,24,0.16,"富力城B区"
800078,58,1011,3,2008,4,24,0.16,"富力城B区"
300079,132,3212,4,2006,1,6,0.5,"富力城C区"
900080,97,2111,4,2003,4,6,0.5,"富力城C区"
100081,89.02,2211,4,2007,4,6,0.5,"富力城C区"
900082,138.61,3112,4,2003,3,6,0.5,"富力城C区"
800083,63,1111,4,2003,1,6,0.333,"富力城C区"
700084,93.5,2211,3,2007,4,11,0.333,"十里堡北里"
800085,104.87,2111,3,2005,4,18,0.25,"红庙北里"
400086,49.68,1111,4,1999,3,7,0.5,"红庙北里"
300087,140,3212,4,2009,1,8,0.5,"SOHO现代城"
100088,85,2111,4,2009,3,17,0.5,"SOHO现代城"
300089,85,2111,4,2010,1,21,0.667,"SOHO现代城"
