transactionid,trade_time,total_price,house_id,agent_id
2.02E+11,20171217,2250,700001,11219
2.02E+11,20160725,700,100002,10764
2.02E+11,20160829,195,500003,11155
2.02E+11,20161226,550,800004,11155
2.02E+11,20160831,401.9,100005,11541
2.02E+11,20160912,425,300006,11541
2.02E+11,20161029,686,200007,11155
2.02E+11,20160720,245,600008,11308
2.02E+11,20160724,237.5,700009,11308
2.02E+11,20160618,175,400010,11068
2.02E+11,20160827,220,600011,10764
2.02E+11,20161019,344,900012,11308
2.02E+11,20161220,380,400013,11308
2.02E+11,20160714,310,200014,10573
2.02E+11,20160816,1818,700015,11308
2.02E+11,20161105,1505,400016,11308
2.02E+11,20160728,406.5,600017,11219
2.02E+11,20160712,395,600018,10711
2.02E+11,20160815,670,800019,10861
2.02E+11,20160619,445,300020,11219
2.02E+11,20160729,470,200021,11068
2.02E+11,20160620,498,700022,11078
2.02E+11,20160812,570,100023,11078
2.02E+11,20160911,177,600024,11308
2.02E+11,20160721,725,300025,11308
2.02E+11,20160915,925,500026,11078
2.02E+11,20160926,696,700027,11078
2.02E+11,20160712,458,800028,11308
2.02E+11,20161009,450,500029,11308
2.02E+11,20160829,546,100030,11308
2.02E+11,20160621,530,100031,11078
2.02E+11,20160713,1050,700032,11078
2.02E+11,20160727,1350,800033,11078
2.02E+11,20160810,958,200034,11155
2.02E+11,20161016,368,400035,11078
2.02E+11,20160621,221.5,300036,10764
2.02E+11,20160713,197,900037,10861
2.02E+11,20160724,265,600038,10764
2.02E+11,20160816,338,100039,10764
2.02E+11,20160829,570,500040,11078
2.02E+11,20160824,610,400041,11078
2.02E+11,20160826,705,300042,11078
2.02E+11,20160725,387,900043,10711
2.02E+11,20161231,447,100044,11308
2.02E+11,20170119,458,100045,11308
2.02E+11,20170121,450,200046,11308
2.02E+11,20160704,303.5,100047,10309
2.02E+11,20160807,910,900048,11308
2.02E+11,20160809,344.5,800049,11308
2.02E+11,20160721,438,700050,10309
2.02E+11,20160818,447,200051,10309
2.02E+11,20160620,308,800052,10309
2.02E+11,20160724,245,100053,10309
2.02E+11,20160728,319,700054,10309
2.02E+11,20160626,165,500055,11541
2.02E+11,20160717,270,500056,11541
2.02E+11,20160720,334,300057,11541
2.02E+11,20160727,363,900058,11541
2.02E+11,20160831,235,400059,11219
2.02E+11,20160925,268,900060,11219
2.02E+11,20160723,235,500061,10309
2.02E+11,20160627,780,500062,11078
2.02E+11,20160822,405,100063,11219
2.02E+11,20160831,350,600064,11219
2.02E+11,20160902,388,400065,11219
2.02E+11,20160914,448,200066,11219
2.02E+11,20160915,353,900067,11219
2.02E+11,20160923,508,500068,11219
2.02E+11,20160928,510,600069,11219
2.02E+11,20160930,470,800070,11219
2.02E+11,20161029,370,700071,11155
2.02E+11,20161118,408,600072,11155
2.02E+11,20160722,147,800073,11078
2.02E+11,20160811,400,900074,10309
2.02E+11,20160621,228,100075,10861
2.02E+11,20160622,252,700076,10861
2.02E+11,20160815,240,200077,10711
2.02E+11,20160819,226,800078,10711
2.02E+11,20160619,330,300079,10764
2.02E+11,20160624,318,900080,10861
2.02E+11,20160627,277,100081,10861
2.02E+11,20160709,406.6,900082,10861
2.02E+11,20160830,259.6,800083,10711
2.02E+11,20160629,325,700084,10309
2.02E+11,20160623,440,800085,10309
2.02E+11,20160707,156,400086,10309
2.02E+11,20160625,370,300087,11068
2.02E+11,20160625,225,100088,11068
2.02E+11,20160627,224,300089,11068
2.02E+11,20160912,500,300090,11155
2.02E+11,20160917,298,100091,11155
2.02E+11,20160918,610,900092,11155
2.02E+11,20160926,600,100093,11155
2.02E+11,20161012,308,900094,11155
2.02E+11,20161115,315,200095,11155
2.02E+11,20161120,298,700096,11155
2.02E+11,20161128,350,400097,11155
2.02E+11,20161204,625,800098,11155
2.02E+11,20161212,333,100099,11155
2.02E+11,20161218,352,500100,11155
2.02E+11,20161221,230,700101,11155
2.02E+11,20170107,330,100102,11155
2.02E+11,20160812,210,600103,10711
2.02E+11,20160818,223,900104,10711
2.02E+11,20160823,220,900105,10711
2.02E+11,20160826,221,200106,10711
2.02E+11,20160829,352,100107,10711
2.02E+11,20160625,260,700108,10309
2.02E+11,20160630,348,200109,10309
2.02E+11,20160703,340,700110,10309
2.02E+11,20160711,339,200111,10309
2.02E+11,20160715,393,100112,10309
2.02E+11,20160715,348,200113,10309
2.02E+11,20160628,229,700114,10861
2.02E+11,20160630,104.5,800115,10861
2.02E+11,20160713,98,500116,10861
2.02E+11,20160726,100,200117,10861
2.02E+11,20160905,106,400118,10711
2.02E+11,20160907,114.3,600119,10711
2.02E+11,20160912,218,600120,10711
2.02E+11,20160720,380,700121,10309
2.02E+11,20160706,185,500122,10861
2.02E+11,20160719,206,400123,10861
2.02E+11,20160721,258,100124,10861
2.02E+11,20160829,208,700125,10711
2.02E+11,20160830,220,600126,10711
2.02E+11,20160831,428,700127,10711
2.02E+11,20160831,252,200128,10711
2.02E+11,20160903,365,500129,10711
2.02E+11,20160911,400,400130,10711
2.02E+11,20160911,319,800131,10711
2.02E+11,20160712,155,300132,11219
2.02E+11,20160829,150,200133,10309
2.02E+11,20160725,433,500134,10183
2.02E+11,20161020,370,900135,10183
2.02E+11,20161028,305,100136,11980
2.02E+11,20160812,930,900137,10897
2.02E+11,20170207,325,500138,10183
2.02E+11,20170104,810,700139,12028
2.02E+11,20160924,428,500140,10183
2.02E+11,20160924,460,600141,11980
2.02E+11,20160830,500,200142,10897
2.02E+11,20160623,328,600143,10939
2.02E+11,20160821,400,900144,11144
2.02E+11,20160910,407,300145,10183
2.02E+11,20160829,540,900146,10939
2.02E+11,20160922,552,800147,10312
2.02E+11,20160905,513,100148,10312
2.02E+11,20160726,650,400149,10821
2.02E+11,20160624,288,500150,12028
2.02E+11,20160725,305,200151,11144
